protocol,N,f,B,K,C,input_bytes,success,timeout,runtime_seconds,has_summary,has_log,num_nodes,total_tx,latency_mean,latency_std,tps_mean,tps_std
hmvba,6,1,10,10,0,2500,True,False,159.5,True,True,6,100,0.05990566666666666,0.000532415501903042,166.9395,1.4728294221569598
hmvba,201,40,100,10,0,25000,,,,False,False,,,,,,
hmvba,6,1,1000,10,0,250000,True,False,159.8,True,True,6,10000,0.09767866666666666,0.000468565754901774,10237.854597666666,49.245816775089075
dumbomvbastar,6,1,1000,10,0,250000,True,False,160.9,True,True,6,10000,0.109527,0.0006896254055645011,9130.462736666666,57.54010678473777
finmvba,16,5,100,10,0,25000,True,False,169.3,True,True,16,1000,0.4965340625,0.005726831916149912,201.421258125,2.3344201729529277
hmvba,201,40,10,10,0,2500,False,True,1200.6,False,True,,,,,,
hmvba,61,12,7000,10,0,1750000,True,False,302.3,True,True,61,70000,10.789856,0.054853908045826474,648.7739633278688,3.293397475675115
hmvba,16,3,0,10,0,0,True,False,166.8,True,True,16,0,0.2407571875,0.0015376708888770708,0.0,0.0
hmvba,31,6,0,10,0,0,True,False,184.0,True,True,31,0,1.155979258064516,0.010509390150298116,0.0,0.0
hmvba,16,3,100,10,0,25000,True,False,167.4,True,True,16,1000,0.31665187499999997,0.002602966560804553,315.824353875,2.6029865137663872
hmvba,61,12,1000,10,0,250000,True,False,247.5,True,True,61,10000,5.7218635901639345,0.05626660993916292,174.78466755737705,1.6991101136164624
finmvba,31,10,10,10,0,2500,True,False,209.3,True,True,31,100,3.6475252903225805,0.024233439445242522,2.7417028387096773,0.01833829348493977
dumbomvbastar,6,1,7000,10,0,1750000,True,False,161.6,True,True,6,70000,0.20668883333333332,0.003060005909580358,33873.475047,498.63307033100324
hmvba,6,1,7000,10,0,1750000,True,False,161.0,True,True,6,70000,0.21236383333333334,0.0008762539396012234,32962.76742633333,135.62977108066084
hmvba,61,12,100,10,0,25000,True,False,241.4,True,True,61,1000,5.075745967213114,0.04680191882603652,19.703152721311476,0.17814038233306628
dumbomvbastar,31,10,100,10,0,25000,True,False,192.4,True,True,31,1000,1.4595531612903225,0.012167871441071846,68.51872874193549,0.57119366395622
dumbomvbastar,31,10,0,10,0,0,True,False,192.1,True,True,31,0,1.4162069354838709,0.018764916445209612,0.0,0.0
finmvba,6,1,7000,10,0,1750000,True,False,160.5,True,True,6,70000,0.163215,0.012243331883110905,43068.58083233333,2886.144865662137
hmvba,101,20,100,10,0,25000,True,False,382.7,True,True,101,1000,16.58862177227723,0.1405214776662189,6.028656831683168,0.05108932776090707
dumbomvbastar,31,10,10,10,0,2500,True,False,191.9,True,True,31,100,1.418813129032258,0.017694495437361187,7.049184258064516,0.08619541501571412
hmvba,6,1,100,10,0,25000,True,False,159.4,True,True,6,1000,0.060705999999999996,0.00023045693740913784,1647.3024681666666,6.257521629994333
